building_id,site_id,building_id_kaggle,site_id_kaggle,primaryspaceusage,sub_primaryspaceusage,sqm,sqft,lat,lng,timezone,electricity,hotwater,chilledwater,steam,water,irrigation,solar,gas,industry,subindustry,heatingtype,yearbuilt,date_opened,numberoffloors,occupants,energystarscore,eui,site_eui,source_eui,leed_level,rating
Panther_lodging_Dean,Panther,,0.0,Lodging/residential,Residence Hall,508.8,5477.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,,Yes,,Yes,,,,1989.0,,,,,271,,,None,
Panther_lodging_Shelia,Panther,,0.0,Lodging/residential,Residence Hall,929.0,10000.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,,Yes,,,,,,1992.0,,,,,62,,,None,
Panther_lodging_Ricky,Panther,,0.0,Lodging/residential,Residence Hall,483.1,5200.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,,Yes,,Yes,,,,2016.0,,,,,534,,,None,
Panther_education_Rosalie,Panther,0.0,0.0,Education,Research,690.5,7432.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,2008.0,,,,,276,,,None,
Panther_education_Misty,Panther,1.0,0.0,Education,Research,252.7,2720.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,2004.0,,,,,375,,,None,
Panther_office_Daina,Panther,,0.0,Office,Office,133.8,1440.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,Yes,Yes,,,,,,1983.0,,,,,1983,,,None,
Panther_education_Mattie,Panther,2.0,0.0,Education,Classroom,499.4,5376.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,1991.0,,,,,49,,,None,
Panther_office_Woodrow,Panther,,0.0,Office,Office,537.8,5789.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,Yes,Yes,,,,,,1996.0,,,,,136,,,None,
Panther_education_Diann,Panther,3.0,0.0,Education,Classroom,2200.4,23685.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,2002.0,,,,,145,,,None,
Panther_education_Gina,Panther,4.0,0.0,Education,Research,10833.1,116607.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,Yes,,,,1975.0,,,,,546,,,None,
Panther_education_Tina,Panther,5.0,0.0,Education,Research,743.2,8000.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,2000.0,,,,,41,,,None,
Panther_lodging_Russell,Panther,6.0,0.0,Lodging/residential,Residence Hall,2594.4,27926.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,1981.0,,,,,58,,,None,
Panther_education_Guillermina,Panther,,0.0,Education,Classroom,2064.3,22220.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,Yes,,,,,,,2002.0,,,,,80,,,None,
