,site_id,building_id_n,site_id_n,primaryspaceusage,sub_primaryspaceusage,sqm,timezone,eui,site_eui,source_eui
916,Ottawa,789.0,7.0,Education,College Classroom,6000.0,US/Eastern,,,
917,Ottawa,790.0,7.0,Education,College Classroom,8000.0,US/Eastern,,,
918,Ottawa,791.0,7.0,Education,College Classroom,14000.0,US/Eastern,,,
919,Ottawa,792.0,7.0,Education,College Classroom,31000.0,US/Eastern,,,
920,Ottawa,793.0,7.0,Education,College Classroom,14000.0,US/Eastern,,,
921,Ottawa,794.0,7.0,Education,College Classroom,67999.9,US/Eastern,,,
922,Ottawa,795.0,7.0,Education,College Classroom,35999.9,US/Eastern,,,
923,Ottawa,796.0,7.0,Education,College Classroom,21000.0,US/Eastern,,,
924,Ottawa,797.0,7.0,Education,College Classroom,70999.9,US/Eastern,,,
925,Ottawa,798.0,7.0,Education,College Classroom,37999.9,US/Eastern,,,
926,Ottawa,799.0,7.0,Education,College Classroom,48999.9,US/Eastern,,,
927,Ottawa,800.0,7.0,Education,College Classroom,6000.0,US/Eastern,,,
928,Ottawa,801.0,7.0,Education,College Classroom,45000.0,US/Eastern,,,
929,Ottawa,802.0,7.0,Education,College Classroom,26999.9,US/Eastern,,,
930,Ottawa,803.0,7.0,Education,College Classroom,16999.9,US/Eastern,,,
1165,Ottawa,1028.0,11.0,Education,Academic,7561.4,US/Eastern,,,
1166,Ottawa,1029.0,11.0,Education,Academic,14173.2,US/Eastern,,,
1167,Ottawa,1030.0,11.0,Education,Academic,6320.2,US/Eastern,,,
1168,Ottawa,1031.0,11.0,Education,Academic,8659.1,US/Eastern,,,
1169,Ottawa,1032.0,11.0,Education,Academic,11857.4,US/Eastern,,,
1236,Minneapolis,1069.0,13.0,Office,Office,1938.3,US/Central,29.6,50.0,28.9
1237,Minneapolis,1070.0,13.0,Lodging/residential,Dormitory,21437.1,US/Central,110.0,176.4,110.4
1238,Minneapolis,1071.0,13.0,Office,Office,964.8,US/Central,76.6,138.9,74.2
1239,Minneapolis,1072.0,13.0,Healthcare,Hospital,28335.4,US/Central,144.3,280.3,142.6
1240,Minneapolis,1073.0,13.0,Office,Office,18033.5,US/Central,289.1,429.4,269.9
1241,Minneapolis,1074.0,13.0,Office,Office,8348.1,US/Central,87.8,136.0,88.3
1242,Minneapolis,1075.0,13.0,Office,Office,6754.9,US/Central,70.3,108.0,70.9
1243,Minneapolis,1076.0,13.0,Lodging/residential,Dormitory,10874.7,US/Central,80.1,134.9,81.2
1244,Minneapolis,1077.0,13.0,Entertainment/public assembly,Gymnasium,1807.3,US/Central,111.4,163.1,112.3
1245,Minneapolis,,13.0,Education,College Laboratory,994.3,US/Central,0.0,0.0,0.0
1246,Minneapolis,1078.0,13.0,Entertainment/public assembly,Museum,7472.9,US/Central,60.9,88.6,60.6
1247,Minneapolis,1079.0,13.0,Education,College Classroom,1317.8,US/Central,93.8,153.1,91.7
1248,Minneapolis,,13.0,Entertainment/public assembly,Gymnasium,11058.2,US/Central,283.5,438.6,285.7
1249,Minneapolis,1080.0,13.0,Education,College Laboratory,19241.6,US/Central,187.3,305.5,182.8
1250,Minneapolis,1081.0,13.0,Manufacturing/industrial,Greenhouse,1065.6,US/Central,825.5,1046.1,834.3
1251,Minneapolis,1082.0,13.0,Office,Office,5332.1,US/Central,130.8,279.5,130.9
1252,Minneapolis,1083.0,13.0,Education,College Classroom,9365.8,US/Central,110.8,182.9,108.2
1253,Minneapolis,1084.0,13.0,Office,Office,11419.8,US/Central,213.5,372.4,209.0
1254,Minneapolis,1085.0,13.0,Education,College Laboratory,5423.4,US/Central,301.8,490.4,305.9
1255,Minneapolis,1086.0,13.0,Office,Office,13375.5,US/Central,182.3,313.8,177.9
1256,Minneapolis,1087.0,13.0,Office,Office,5255.4,US/Central,57.9,93.0,58.4
1257,Minneapolis,1088.0,13.0,Education,College Laboratory,26718.3,US/Central,378.1,621.9,371.8
1258,Minneapolis,1089.0,13.0,Office,Office,5837.7,US/Central,246.8,490.3,238.5
1259,Minneapolis,1090.0,13.0,Office,Office,28339.8,US/Central,78.6,135.6,76.6
1260,Minneapolis,1091.0,13.0,Lodging/residential,Dormitory,21678.1,US/Central,113.1,182.2,113.8
1261,Minneapolis,1092.0,13.0,Office,Office,9770.3,US/Central,383.7,689.3,378.7
1262,Minneapolis,1093.0,13.0,Office,Office,4420.1,US/Central,99.5,146.5,90.0
1263,Minneapolis,1094.0,13.0,Office,Office,6582.4,US/Central,140.8,213.5,137.8
1264,Minneapolis,1095.0,13.0,Education,College Laboratory,2996.7,US/Central,447.3,624.1,438.5
1265,Minneapolis,1096.0,13.0,Parking,Parking: Enclosed Garage,7782.7,US/Central,2233.2,6252.9,2193.5
1266,Minneapolis,1097.0,13.0,Office,Office,14636.4,US/Central,99.0,168.4,99.0
1267,Minneapolis,1098.0,13.0,Office,Office,12239.5,US/Central,79.4,121.0,79.3
1268,Minneapolis,1099.0,13.0,Education,Student Union,30925.9,US/Central,106.7,203.9,107.7
1269,Minneapolis,1100.0,13.0,Lodging/residential,Dormitory,16251.0,US/Central,120.1,201.9,120.7
1270,Minneapolis,1101.0,13.0,Office,Office,6683.1,US/Central,106.2,163.0,107.1
1271,Minneapolis,1102.0,13.0,Office,Office,8099.9,US/Central,189.8,271.8,188.8
1272,Minneapolis,1103.0,13.0,Other,Animal Shelter,2220.7,US/Central,76.4,161.3,75.1
1273,Minneapolis,1104.0,13.0,Public services,Library,18554.8,US/Central,217.3,289.2,217.0
1274,Minneapolis,1105.0,13.0,Food sales and service,Bar/Tavern,3085.8,US/Central,188.2,327.4,192.3
1275,Minneapolis,1106.0,13.0,Office,Office,8556.3,US/Central,47.4,98.5,46.4
1276,Minneapolis,1107.0,13.0,Education,College Laboratory,17103.3,US/Central,346.8,531.3,338.7
1277,Minneapolis,1108.0,13.0,Parking,Parking: Enclosed Garage,63138.2,US/Central,0.0,0.0,0.0
1278,Minneapolis,1109.0,13.0,Office,Office,9493.9,US/Central,264.4,392.3,257.2
1279,Minneapolis,1110.0,13.0,Office,Office,2521.9,US/Central,4.2,8.5,4.2
1280,Minneapolis,1111.0,13.0,Office,Office,6302.4,US/Central,67.6,120.3,68.1
1281,Minneapolis,1112.0,13.0,Office,Office,17695.3,US/Central,143.6,213.7,133.1
1282,Minneapolis,1113.0,13.0,Office,Office,3103.1,US/Central,275.2,349.1,274.1
1283,Minneapolis,1114.0,13.0,Other,Animal Shelter,6021.0,US/Central,105.9,171.1,105.2
1284,Minneapolis,1115.0,13.0,Services,Maintenance Repair Shop,3904.5,US/Central,116.6,173.0,118.5
1285,Minneapolis,1116.0,13.0,Services,Maintenance Repair Shop,1085.2,US/Central,102.7,156.0,104.0
1286,Minneapolis,1117.0,13.0,Office,Office,10351.6,US/Central,107.7,167.6,107.7
1287,Minneapolis,1118.0,13.0,Services,Maintenance Repair Shop,2501.5,US/Central,160.1,231.3,164.4
1288,Minneapolis,1119.0,13.0,Office,Office,11102.7,US/Central,59.7,100.9,59.8
1289,Minneapolis,1120.0,13.0,Services,Maintenance Repair Shop,6506.9,US/Central,147.1,214.1,149.1
1290,Minneapolis,1121.0,13.0,Education,College Laboratory,7964.8,US/Central,205.1,324.0,195.8
1291,Minneapolis,1122.0,13.0,Office,Office,7837.8,US/Central,86.3,122.1,86.8
1292,Minneapolis,1123.0,13.0,Office,Office,8639.4,US/Central,67.0,99.6,67.7
1293,Minneapolis,1124.0,13.0,Lodging/residential,Dormitory,14241.9,US/Central,110.8,184.7,109.1
1294,Minneapolis,1125.0,13.0,Parking,Parking: Open Air Ramp,25222.4,US/Central,0.0,0.0,0.0
1295,Minneapolis,1126.0,13.0,Education,College Laboratory,6719.9,US/Central,307.8,502.9,307.9
1296,Minneapolis,1127.0,13.0,Office,Office,8094.7,US/Central,106.3,178.5,106.9
1297,Minneapolis,1128.0,13.0,Office,Office,5453.7,US/Central,128.1,216.1,129.9
1298,Minneapolis,1129.0,13.0,Office,Office,12365.4,US/Central,89.7,147.4,87.5
1299,Minneapolis,1130.0,13.0,Education,College Laboratory,26033.7,US/Central,221.7,377.4,220.6
1300,Minneapolis,1131.0,13.0,Office,Office,2365.6,US/Central,153.8,251.9,151.1
1301,Minneapolis,1132.0,13.0,Office,Office,9655.0,US/Central,79.2,129.7,78.6
1302,Minneapolis,1133.0,13.0,Office,Office,7646.1,US/Central,262.9,381.6,263.5
1303,Minneapolis,1134.0,13.0,Office,Office,14209.1,US/Central,77.8,131.8,78.1
1304,Minneapolis,1135.0,13.0,Education,College Laboratory,13972.0,US/Central,362.1,499.5,362.2
1305,Minneapolis,1136.0,13.0,Office,Office,7412.0,US/Central,75.9,117.4,76.5
1306,Minneapolis,1137.0,13.0,Office,Office,2550.4,US/Central,101.4,172.1,100.6
1307,Minneapolis,1138.0,13.0,Education,College Laboratory,3715.0,US/Central,157.7,270.7,154.5
1308,Minneapolis,1139.0,13.0,Office,Office,31275.8,US/Central,226.3,393.5,224.2
1309,Minneapolis,1140.0,13.0,Education,College Laboratory,14537.7,US/Central,419.9,682.4,409.8
1310,Minneapolis,1141.0,13.0,Parking,Parking: Enclosed Garage,1949.7,US/Central,285.0,431.5,278.2
1311,Minneapolis,1142.0,13.0,Office,Office,9635.7,US/Central,65.0,102.6,63.4
1312,Minneapolis,1143.0,13.0,Office,Office,8975.5,US/Central,63.5,112.2,61.6
1313,Minneapolis,1144.0,13.0,Office,Office,14150.2,US/Central,380.3,602.9,376.9
1314,Minneapolis,1145.0,13.0,Manufacturing/industrial,Greenhouse,3270.3,US/Central,379.4,815.4,375.6
1315,Minneapolis,1146.0,13.0,Public services,Library,7725.3,US/Central,55.4,91.5,55.4
1316,Minneapolis,1147.0,13.0,Entertainment/public assembly,Ice Arena,21783.5,US/Central,93.9,189.8,90.5
1317,Minneapolis,1148.0,13.0,Office,Office,80038.2,US/Central,168.8,249.5,161.9
1318,Minneapolis,1149.0,13.0,Office,Office,27312.6,US/Central,60.6,133.7,59.1
1319,Minneapolis,1150.0,13.0,Office,Office,18213.0,US/Central,99.5,147.4,99.9
1320,Minneapolis,1151.0,13.0,Office,Office,24854.9,US/Central,174.2,255.8,166.4
1321,Minneapolis,1152.0,13.0,Office,Office,11042.3,US/Central,347.4,551.5,341.2
1322,Minneapolis,1153.0,13.0,Technology/science,Lab Building,8310.7,US/Central,218.2,330.0,215.7
